,ngram,age,words,lookup_index,child,length
218,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
219,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
220,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
221,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
222,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
223,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
224,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
225,AA,1.9,"('pop', 'pop')",90,Alex (Providence),2
226,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
227,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
228,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
229,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
230,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
231,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
232,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
233,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
234,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
235,AAA,1.9,"('pop', 'pop', 'pop')",90,Alex (Providence),3
236,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
237,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
238,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
239,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
240,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
241,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
242,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
243,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
244,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",90,Alex (Providence),4
245,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
246,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
247,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
248,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
249,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
250,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
251,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
252,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
253,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
254,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
255,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
256,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
257,AA,1.9,"('pop', 'pop')",91,Alex (Providence),2
258,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
259,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
260,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
261,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
262,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
263,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
264,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
265,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
266,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
267,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
268,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
269,AAA,1.9,"('pop', 'pop', 'pop')",91,Alex (Providence),3
270,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
271,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
272,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
273,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
274,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
275,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
276,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
277,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
278,AAAA,1.9,"('pop', 'pop', 'pop', 'pop')",91,Alex (Providence),4
