,ngram,age,lookup_index,child,length
177,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
178,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
179,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
180,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
181,"('NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),3
182,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
183,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
184,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
185,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
186,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
187,"('NOUN', 'NOUN', 'NOUN', 'NOUN')",1.9,88,Alex (Providence),4
188,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
189,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
190,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
191,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
192,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
193,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
194,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
195,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
196,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
197,"('NOUN', 'NOUN')",1.9,89,Alex (Providence),2
198,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
199,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
200,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
201,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
202,"('NOUN', 'NOUN', 'NOUN')",1.9,89,Alex (Providence),3
